Machine_ID,Timestamp,Temperature,Vibration,Pressure,Run_Time,Oil_Level,Power_Consumption,Product_Rate,Maintenance_Due,Downtime_Flag,Downtime,Quality_Score,Equipment_Age
M7,2024-01-01 00:00:00,69.47,0.774,97.2,13.84,0.785,60.26,93.27,0,0,No,91.19,307
M4,2024-01-01 01:00:00,81.03,0.173,102.43,3.97,0.988,68.56,88.25,0,0,No,89.97,273
M8,2024-01-01 02:00:00,72.12,0.547,133.25,9.67,0.814,82.83,129.23,0,0,No,90.97,899
M5,2024-01-01 03:00:00,95.86,0.392,95.18,8.24,0.703,80.9,97.3,0,1,Yes,86.45,180
M7,2024-01-01 04:00:00,58.33,0.525,124.36,9.62,0.785,83.25,103.26,0,0,No,86.3,118
M10,2024-01-01 05:00:00,74.23,0.642,109.6,18.27,0.736,80.07,75.94,0,1,Yes,94.85,807
M3,2024-01-01 06:00:00,78.09,0.544,128.37,11.58,0.731,76.43,92.14,1,1,Yes,91.9,390
M7,2024-01-01 07:00:00,83.19,0.298,93.23,22.57,0.723,68.62,128.31,0,1,Yes,90.51,461
M8,2024-01-01 08:00:00,31.93,0.4,113.92,7.05,0.878,73.66,106.94,0,0,No,73.68,968
M5,2024-01-01 09:00:00,72.59,0.785,98.81,9.98,0.757,77.11,99.57,0,0,No,92.85,379
M4,2024-01-01 10:00:00,88.5,0.566,40.21,18.89,0.808,61.1,120.91,0,0,No,79.98,497
M8,2024-01-01 11:00:00,86.67,0.668,78.2,13.1,0.959,72.14,75.32,1,1,Yes,86.44,867
M8,2024-01-01 12:00:00,80.32,0.55,111.65,13.13,0.827,76.28,93.78,0,0,No,94.01,244
M3,2024-01-01 13:00:00,58.53,0.662,110.33,1.28,0.975,73.11,134.12,0,0,No,86.46,777
M6,2024-01-01 14:00:00,80.93,0.421,74.1,9.57,0.849,76.57,99.25,0,0,No,90.27,616
M5,2024-01-01 15:00:00,66.4,0.346,104.41,6.5,0.82,86.69,99.15,0,0,No,91.75,352
M2,2024-01-01 16:00:00,96.36,0.653,110.07,23.98,0.925,87.91,117.69,0,1,Yes,84.25,761
M8,2024-01-01 17:00:00,76.82,0.725,99.31,7.4,0.722,95.11,118.73,0,1,Yes,94.44,643
M6,2024-01-01 18:00:00,72.43,0.317,114.58,21.23,0.727,64.92,80.48,0,1,Yes,92.14,337
M2,2024-01-01 19:00:00,61.61,0.385,111.85,16.23,0.896,75.79,106.42,0,0,No,88.63,232
M5,2024-01-01 20:00:00,80.33,0.467,99.3,8.18,0.846,92.28,126.34,0,0,No,96.54,408
M1,2024-01-01 21:00:00,71.68,0.824,89.78,13.04,0.937,62.54,90.35,0,1,Yes,89.82,457
M10,2024-01-01 22:00:00,74.87,0.613,120.85,20.17,0.975,68.24,94.41,0,0,No,93.51,385
M6,2024-01-01 23:00:00,73.39,0.235,109.26,21.2,0.817,73.84,100.43,0,0,No,92.05,394
M9,2024-01-02 00:00:00,70.44,0.481,72.37,3.85,0.879,100.44,110.42,0,0,No,91.82,262
M1,2024-01-02 01:00:00,98.52,0.451,104.42,8.15,0.85,70.25,78.59,0,1,Yes,86.37,519
M10,2024-01-02 02:00:00,67.11,0.265,76.98,8.05,0.994,90.84,53.31,0,0,No,86.76,840
M3,2024-01-02 03:00:00,74.79,0.479,80.71,1.01,0.949,79.72,103.23,0,0,No,95.62,569
M7,2024-01-02 04:00:00,76.52,0.442,86.96,14.36,0.974,68.54,117.49,0,0,No,95.47,744
M4,2024-01-02 05:00:00,69.64,0.428,100.9,20.52,0.776,108.0,95.32,1,1,Yes,95.69,985
M9,2024-01-02 06:00:00,48.56,0.419,107.49,9.16,0.932,81.95,90.84,1,1,Yes,83.65,670
M3,2024-01-02 07:00:00,59.6,0.794,91.82,17.76,0.78,83.76,97.5,0,0,No,84.78,609
M5,2024-01-02 08:00:00,78.71,0.427,92.7,15.06,0.763,85.35,123.96,0,0,No,95.23,761
M3,2024-01-02 09:00:00,76.31,0.51,89.94,9.02,0.983,84.57,90.03,0,0,No,97.13,581
M7,2024-01-02 10:00:00,85.54,0.488,120.95,3.39,0.706,101.52,108.55,1,1,Yes,90.31,465
M5,2024-01-02 11:00:00,76.45,0.399,42.94,17.02,0.99,97.86,82.7,0,0,No,85.84,416
M9,2024-01-02 12:00:00,88.03,0.516,93.83,20.51,0.745,70.68,83.41,0,1,Yes,91.93,735
M7,2024-01-02 13:00:00,65.94,0.513,130.9,16.46,0.946,100.19,112.68,0,0,No,89.03,808
M2,2024-01-02 14:00:00,88.27,0.516,110.34,0.43,0.783,73.0,124.52,0,0,No,90.98,346
M4,2024-01-02 15:00:00,61.21,0.328,125.34,5.19,0.805,83.22,113.34,0,0,No,84.6,579
M9,2024-01-02 16:00:00,58.34,0.459,59.32,1.67,0.765,65.48,69.19,0,0,No,82.71,717
M2,2024-01-02 17:00:00,83.51,0.652,75.16,13.69,0.876,90.37,93.7,0,0,No,87.74,993
